filename,species,split
Bristled Grassbird_test_XC646708 7.mp3,Bristled Grassbird,test
Cheer Pheasant_test_XC121425 4.mp3,Cheer Pheasant,test
Cheer Pheasant_test_XC121425 6.mp3,Cheer Pheasant,test
Cheer Pheasant_test_XC121425 8.mp3,Cheer Pheasant,test
Common Cuckoo_test_XC652380 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC652380 21.mp3,Common Cuckoo,test
Common Cuckoo_test_XC652620 4.mp3,Common Cuckoo,test
Common Cuckoo_test_XC652621 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC652624 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC652625 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC652628 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC652638 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC653084 2.mp3,Common Cuckoo,test
Common Cuckoo_test_XC653084 6.mp3,Common Cuckoo,test
Common Cuckoo_test_XC653108 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC653694 11.mp3,Common Cuckoo,test
Common Cuckoo_test_XC653694 13.mp3,Common Cuckoo,test
Common Cuckoo_test_XC653694 24.mp3,Common Cuckoo,test
Common Cuckoo_test_XC653694 26.mp3,Common Cuckoo,test
Common Cuckoo_test_XC653694 46.mp3,Common Cuckoo,test
Common Cuckoo_test_XC654296 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC654767 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC655455 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC657011 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC658892 5.mp3,Common Cuckoo,test
Common Cuckoo_test_XC658892 6.mp3,Common Cuckoo,test
Common Cuckoo_test_XC658894 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC663475 13.mp3,Common Cuckoo,test
Common Cuckoo_test_XC670353 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC673118 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC674126 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC674542 3.mp3,Common Cuckoo,test
Common Cuckoo_test_XC674542 5.mp3,Common Cuckoo,test
Common Cuckoo_test_XC674542 7.mp3,Common Cuckoo,test
Common Cuckoo_test_XC675040 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC675282 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC675305 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC680026 2.mp3,Common Cuckoo,test
Common Cuckoo_test_XC680026 4.mp3,Common Cuckoo,test
Common Cuckoo_test_XC680026 6.mp3,Common Cuckoo,test
Common Cuckoo_test_XC680030 3.mp3,Common Cuckoo,test
Common Cuckoo_test_XC686904 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC694850 18.mp3,Common Cuckoo,test
Common Cuckoo_test_XC694850 29.mp3,Common Cuckoo,test
Common Cuckoo_test_XC694850 35.mp3,Common Cuckoo,test
Common Cuckoo_test_XC694850 57.mp3,Common Cuckoo,test
Common Cuckoo_test_XC694850 61.mp3,Common Cuckoo,test
Common Cuckoo_test_XC697738 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC698072 3.mp3,Common Cuckoo,test
Common Cuckoo_test_XC698077 4.mp3,Common Cuckoo,test
Common Cuckoo_test_XC714370 0.mp3,Common Cuckoo,test
Common Cuckoo_test_XC717409 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC719912 original.mp3,Common Cuckoo,test
Common Cuckoo_test_XC724505 1.mp3,Common Cuckoo,test
Common Cuckoo_test_XC726558 6.mp3,Common Cuckoo,test
Common Cuckoo_test_XC726852 3.mp3,Common Cuckoo,test
Common Cuckoo_test_XC728701 1.mp3,Common Cuckoo,test
Common Pochard_test_XC100624 0.mp3,Common Pochard,test
Common Pochard_test_XC102816 1.mp3,Common Pochard,test
Common Pochard_test_XC138809 original.mp3,Common Pochard,test
Common Pochard_test_XC270238 1.mp3,Common Pochard,test
Common Pochard_test_XC270396 0.mp3,Common Pochard,test
Common Pochard_test_XC270397 2.mp3,Common Pochard,test
Common Pochard_test_XC280913 0.mp3,Common Pochard,test
Common Pochard_test_XC280914 5.mp3,Common Pochard,test
Common Pochard_test_XC280914 7.mp3,Common Pochard,test
Common Pochard_test_XC299728 1.mp3,Common Pochard,test
Common Pochard_test_XC331077 original.mp3,Common Pochard,test
Common Pochard_test_XC349107 0.mp3,Common Pochard,test
Common Pochard_test_XC349116 12.mp3,Common Pochard,test
Common Pochard_test_XC44719 -1.mp3,Common Pochard,test
Common Pochard_test_XC467963 1.mp3,Common Pochard,test
Common Pochard_test_XC468197 0.mp3,Common Pochard,test
Common Pochard_test_XC523198 0.mp3,Common Pochard,test
Common Pochard_test_XC591952 0.mp3,Common Pochard,test
Common Pochard_test_XC592689 1.mp3,Common Pochard,test
Common Pochard_test_XC592689 9.mp3,Common Pochard,test
Common Pochard_test_XC625436 1.mp3,Common Pochard,test
Common Pochard_test_XC634397 0.mp3,Common Pochard,test
Common Pochard_test_XC641504 2.mp3,Common Pochard,test
Common Pochard_test_XC649350 2.mp3,Common Pochard,test
Common Pochard_test_XC719656 original.mp3,Common Pochard,test
Common Pochard_test_XC84280 -0.mp3,Common Pochard,test
Common Wood Pigeon_test_XC534761 0.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC536577 1.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC545506 1.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC548925 3.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC548931 3.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC558782 12.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC558782 2.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC558840 9.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC560633 7.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC561877 3.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC564161 1.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC564161 2.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC564161 6.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC564161 8.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC564410 1.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC574126 3.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC581645 original.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC587539 original.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC587645 4.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC587645 9.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC590890 original.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC595388 3.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC599691 1.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC599691 3.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC599692 1.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC621415 6.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC631064 21.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC631064 26.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC631222 0.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC631299 0.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC632023 1.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC637396 3.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC637609 14.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC637609 3.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC637609 4.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC648349 5.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC651508 2.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC664084 1.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC669640 7.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC715716 0.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC716757 0.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC716978 10.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC716978 3.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC716978 9.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC720861 1.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC720864 4.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC725384 13.mp3,Common Wood Pigeon,test
Common Wood Pigeon_test_XC725733 2.mp3,Common Wood Pigeon,test
Eastern Imperial Eagle_test_XC582820 original.mp3,Eastern Imperial Eagle,test
Eastern Imperial Eagle_test_XC608533 3.mp3,Eastern Imperial Eagle,test
Egyptian Vulture_test_XC650776 2.mp3,Egyptian Vulture,test
Egyptian Vulture_test_XC650776 3.mp3,Egyptian Vulture,test
Great Slaty Woodpecker_test_XC100459 0.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC156648 0.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC209688 0.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC25971 -0.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC308594 1.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC31562 -1.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC394980 2.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC394980 3.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC408525 1.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC413817 1.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC413817 4.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC453729 2.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC536097 1.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC578021 3.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC584152 0.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC619113 2.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC620140 1.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC642406 1.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC92627 -1.mp3,Great Slaty Woodpecker,test
Great Slaty Woodpecker_test_XC95854 -0.mp3,Great Slaty Woodpecker,test
Greater Spotted Eagle_test_XC157014 0.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC240246 4.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC393309 5.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417952 35.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417952 41.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417952 50.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417952 51.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417954 3.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417954 6.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417958 24.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417958 39.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417961 55.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417961 63.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417961 65.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417961 66.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC417962 13.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC422336 1.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC422336 19.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC422336 25.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC422336 28.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC460234 2.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC591030 0.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC592129 0.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC592196 0.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC593592 4.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC593592 7.mp3,Greater Spotted Eagle,test
Greater Spotted Eagle_test_XC608363 0.mp3,Greater Spotted Eagle,test
Grey Treepie_test_XC105576 0.mp3,Grey Treepie,test
Grey Treepie_test_XC112793 7.mp3,Grey Treepie,test
Grey Treepie_test_XC170494 1.mp3,Grey Treepie,test
Grey Treepie_test_XC193205 1.mp3,Grey Treepie,test
Grey Treepie_test_XC19698 -0.mp3,Grey Treepie,test
Grey Treepie_test_XC210570 4.mp3,Grey Treepie,test
Grey Treepie_test_XC247316 original.mp3,Grey Treepie,test
Grey Treepie_test_XC306816 0.mp3,Grey Treepie,test
Grey Treepie_test_XC306816 4.mp3,Grey Treepie,test
Grey Treepie_test_XC306817 0.mp3,Grey Treepie,test
Grey Treepie_test_XC306817 12.mp3,Grey Treepie,test
Grey Treepie_test_XC306817 15.mp3,Grey Treepie,test
Grey Treepie_test_XC319493 1.mp3,Grey Treepie,test
Grey Treepie_test_XC349415 1.mp3,Grey Treepie,test
Grey Treepie_test_XC349416 1.mp3,Grey Treepie,test
Grey Treepie_test_XC352426 0.mp3,Grey Treepie,test
Grey Treepie_test_XC390762 0.mp3,Grey Treepie,test
Grey Treepie_test_XC407606 2.mp3,Grey Treepie,test
Grey Treepie_test_XC414354 1.mp3,Grey Treepie,test
Grey Treepie_test_XC448004 0.mp3,Grey Treepie,test
Grey Treepie_test_XC448004 2.mp3,Grey Treepie,test
Grey Treepie_test_XC463833 0.mp3,Grey Treepie,test
Grey Treepie_test_XC502779 3.mp3,Grey Treepie,test
Grey Treepie_test_XC598626 3.mp3,Grey Treepie,test
Grey Treepie_test_XC612009 10.mp3,Grey Treepie,test
Grey Treepie_test_XC612009 9.mp3,Grey Treepie,test
Grey Treepie_test_XC612012 1.mp3,Grey Treepie,test
Grey Treepie_test_XC612012 4.mp3,Grey Treepie,test
Grey Treepie_test_XC631049 1.mp3,Grey Treepie,test
Grey Treepie_test_XC664608 0.mp3,Grey Treepie,test
Grey Treepie_test_XC664608 2.mp3,Grey Treepie,test
Grey Treepie_test_XC664608 7.mp3,Grey Treepie,test
Grey Treepie_test_XC79458 -1.mp3,Grey Treepie,test
Grey Treepie_test_XC94105 -1.mp3,Grey Treepie,test
Grey-crowned Prinia_test_XC140787 4.mp3,Grey-crowned Prinia,test
Grey-crowned Prinia_test_XC472972 2.mp3,Grey-crowned Prinia,test
Grey-sided Thrush_test_XC163544 3.mp3,Grey-sided Thrush,test
Grey-sided Thrush_test_XC328323 5.mp3,Grey-sided Thrush,test
Grey-sided Thrush_test_XC414447 0.mp3,Grey-sided Thrush,test
Grey-sided Thrush_test_XC414447 4.mp3,Grey-sided Thrush,test
Himalayan Monal_test_XC114358 2.mp3,Himalayan Monal,test
Himalayan Monal_test_XC119993 7.mp3,Himalayan Monal,test
Himalayan Monal_test_XC119993 8.mp3,Himalayan Monal,test
Himalayan Monal_test_XC304567 1.mp3,Himalayan Monal,test
Himalayan Monal_test_XC304567 3.mp3,Himalayan Monal,test
Himalayan Monal_test_XC317228 1.mp3,Himalayan Monal,test
Himalayan Monal_test_XC357107 1.mp3,Himalayan Monal,test
Himalayan Monal_test_XC472784 4.mp3,Himalayan Monal,test
Himalayan Monal_test_XC523178 1.mp3,Himalayan Monal,test
Himalayan Monal_test_XC547426 0.mp3,Himalayan Monal,test
Himalayan Monal_test_XC547801 6.mp3,Himalayan Monal,test
House Crow_test_XC113090 0.mp3,House Crow,test
House Crow_test_XC150647 original.mp3,House Crow,test
House Crow_test_XC163861 0.mp3,House Crow,test
House Crow_test_XC163862 0.mp3,House Crow,test
House Crow_test_XC163863 1.mp3,House Crow,test
House Crow_test_XC194310 1.mp3,House Crow,test
House Crow_test_XC194310 4.mp3,House Crow,test
House Crow_test_XC208278 9.mp3,House Crow,test
House Crow_test_XC208875 1.mp3,House Crow,test
House Crow_test_XC208879 0.mp3,House Crow,test
House Crow_test_XC209000 original.mp3,House Crow,test
House Crow_test_XC209018 1.mp3,House Crow,test
House Crow_test_XC209201 0.mp3,House Crow,test
House Crow_test_XC209201 1.mp3,House Crow,test
House Crow_test_XC209201 3.mp3,House Crow,test
House Crow_test_XC293565 1.mp3,House Crow,test
House Crow_test_XC294461 3.mp3,House Crow,test
House Crow_test_XC294461 5.mp3,House Crow,test
House Crow_test_XC322403 1.mp3,House Crow,test
House Crow_test_XC322403 6.mp3,House Crow,test
House Crow_test_XC357593 2.mp3,House Crow,test
House Crow_test_XC369130 0.mp3,House Crow,test
House Crow_test_XC402083 2.mp3,House Crow,test
House Crow_test_XC402083 4.mp3,House Crow,test
House Crow_test_XC402083 7.mp3,House Crow,test
House Crow_test_XC443066 original.mp3,House Crow,test
House Crow_test_XC519656 3.mp3,House Crow,test
House Crow_test_XC520666 1.mp3,House Crow,test
House Crow_test_XC523319 4.mp3,House Crow,test
House Crow_test_XC531724 0.mp3,House Crow,test
House Crow_test_XC532303 1.mp3,House Crow,test
House Crow_test_XC578839 4.mp3,House Crow,test
House Crow_test_XC595475 18.mp3,House Crow,test
House Crow_test_XC595475 21.mp3,House Crow,test
House Crow_test_XC595475 22.mp3,House Crow,test
House Crow_test_XC595475 3.mp3,House Crow,test
House Crow_test_XC626467 3.mp3,House Crow,test
House Crow_test_XC654147 2.mp3,House Crow,test
House Crow_test_XC667033 2.mp3,House Crow,test
House Crow_test_XC73378 -1.mp3,House Crow,test
House Sparrow_test_XC628360 1.mp3,House Sparrow,test
House Sparrow_test_XC628369 3.mp3,House Sparrow,test
House Sparrow_test_XC632064 15.mp3,House Sparrow,test
House Sparrow_test_XC632064 2.mp3,House Sparrow,test
House Sparrow_test_XC632064 22.mp3,House Sparrow,test
House Sparrow_test_XC632532 2.mp3,House Sparrow,test
House Sparrow_test_XC632532 4.mp3,House Sparrow,test
House Sparrow_test_XC635443 6.mp3,House Sparrow,test
House Sparrow_test_XC637964 1.mp3,House Sparrow,test
House Sparrow_test_XC638237 4.mp3,House Sparrow,test
House Sparrow_test_XC639076 2.mp3,House Sparrow,test
House Sparrow_test_XC639076 3.mp3,House Sparrow,test
House Sparrow_test_XC639613 1.mp3,House Sparrow,test
House Sparrow_test_XC639613 2.mp3,House Sparrow,test
House Sparrow_test_XC639613 4.mp3,House Sparrow,test
House Sparrow_test_XC642972 0.mp3,House Sparrow,test
House Sparrow_test_XC643506 5.mp3,House Sparrow,test
House Sparrow_test_XC643517 4.mp3,House Sparrow,test
House Sparrow_test_XC644595 2.mp3,House Sparrow,test
House Sparrow_test_XC645076 original.mp3,House Sparrow,test
House Sparrow_test_XC645288 1.mp3,House Sparrow,test
House Sparrow_test_XC645667 1.mp3,House Sparrow,test
House Sparrow_test_XC648947 0.mp3,House Sparrow,test
House Sparrow_test_XC648947 2.mp3,House Sparrow,test
House Sparrow_test_XC649118 1.mp3,House Sparrow,test
House Sparrow_test_XC656008 3.mp3,House Sparrow,test
House Sparrow_test_XC678544 10.mp3,House Sparrow,test
House Sparrow_test_XC678544 13.mp3,House Sparrow,test
House Sparrow_test_XC680573 1.mp3,House Sparrow,test
House Sparrow_test_XC685463 1.mp3,House Sparrow,test
House Sparrow_test_XC687529 0.mp3,House Sparrow,test
House Sparrow_test_XC691724 1.mp3,House Sparrow,test
House Sparrow_test_XC697951 3.mp3,House Sparrow,test
House Sparrow_test_XC698516 1.mp3,House Sparrow,test
House Sparrow_test_XC698516 2.mp3,House Sparrow,test
House Sparrow_test_XC698516 3.mp3,House Sparrow,test
House Sparrow_test_XC705605 1.mp3,House Sparrow,test
House Sparrow_test_XC710718 1.mp3,House Sparrow,test
House Sparrow_test_XC716324 original.mp3,House Sparrow,test
House Sparrow_test_XC729006 1.mp3,House Sparrow,test
Indian Spotted Eagle_test_XC588120 0.mp3,Indian Spotted Eagle,test
Indian Spotted Eagle_test_XC588120 1.mp3,Indian Spotted Eagle,test
Jerdon_s Babbler_test_XC292616 1.mp3,Jerdon_s Babbler,test
Jerdon_s Babbler_test_XC292616 4.mp3,Jerdon_s Babbler,test
Jerdon_s Babbler_test_XC354661 0.mp3,Jerdon_s Babbler,test
Jerdon_s Babbler_test_XC426472 1.mp3,Jerdon_s Babbler,test
Kashmir Flycatcher_test_XC453477 0.mp3,Kashmir Flycatcher,test
Kashmir Flycatcher_test_XC488386 0.mp3,Kashmir Flycatcher,test
Kashmir Flycatcher_test_XC488386 3.mp3,Kashmir Flycatcher,test
Kashmir Flycatcher_test_XC566242 2.mp3,Kashmir Flycatcher,test
Large-billed Crow_test_XC104171 original.mp3,Large-billed Crow,test
Large-billed Crow_test_XC116711 6.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156093 10.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156094 4.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156095 0.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156097 4.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156330 3.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156330 8.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156331 4.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156331 5.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156335 0.mp3,Large-billed Crow,test
Large-billed Crow_test_XC156335 4.mp3,Large-billed Crow,test
Large-billed Crow_test_XC191116 1.mp3,Large-billed Crow,test
Large-billed Crow_test_XC194860 original.mp3,Large-billed Crow,test
Large-billed Crow_test_XC195058 0.mp3,Large-billed Crow,test
